产品类型,资产大类,字段,字段类型,字段含义,值域,特殊规则
COMM_WEDDING_CAKE,商品,INNER_UPPER_BARRIER,浮点数,内层上障碍,,
COMM_WEDDING_CAKE,商品,INSTRUMENT_ID,字符串,交易编号,,
COMM_WEDDING_CAKE,商品,MATURITY_DATE,日期,到期日,,yyyyMMdd
COMM_WEDDING_CAKE,商品,MID_RATE,浮点数,中间收益率,,
COMM_WEDDING_CAKE,商品,NOTIONAL,浮点数,名义金额,,非负有限数
COMM_WEDDING_CAKE,商品,OUTER_LOWER_BARRIER,浮点数,外层下障碍,,
COMM_WEDDING_CAKE,商品,OUTER_UPPER_BARRIER,浮点数,外层上障碍,,
COMM_WEDDING_CAKE,商品,OUT_RATE,浮点数,外层收益率,,
COMM_WEDDING_CAKE,商品,PRICE_CURVE,字符串,价格曲线,,
COMM_WEDDING_CAKE,商品,PRODUCT_CODE,字符串,产品代码,,
COMM_WEDDING_CAKE,商品,SETTLE_CURRENCY_CODE,字符串,结算货币,,
COMM_WEDDING_CAKE,商品,SETTLE_DATE,日期,结算日,,yyyyMMdd
COMM_WEDDING_CAKE,商品,START_DATE,日期,起息日,,yyyyMMdd
COMM_WEDDING_CAKE,商品,TRADE_DATE,日期,交易日,,yyyyMMdd
COMM_WEDDING_CAKE,商品,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
COMM_WEDDING_CAKE,商品,VV_FLAG,布尔,VannaVolga开关,true/false,
EQ_AUTO_CALL,权益,BARRIER,浮点数,障碍价,,
EQ_AUTO_CALL,权益,BARRIER_DIRECTION,字符串,障碍方向,Up/Down,
EQ_AUTO_CALL,权益,BUY_OR_SELL,字符串,买卖方向,B/S,
EQ_AUTO_CALL,权益,CURRENCY_CODE,字符串,货币代码,,
EQ_AUTO_CALL,权益,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
EQ_AUTO_CALL,权益,FIXING_ID,字符串,定盘ID,,
EQ_AUTO_CALL,权益,INSTRUMENT_ID,字符串,交易编号,,
EQ_AUTO_CALL,权益,NOTIONAL,浮点数,名义金额,,非负有限数
EQ_AUTO_CALL,权益,OBS_DATE,字符串,观察日,,
EQ_AUTO_CALL,权益,PATH_FLAG,布尔,路径标志,,
EQ_AUTO_CALL,权益,PATH_NB,整数,模拟路径数,,
EQ_AUTO_CALL,权益,PAYOFF_RATE,浮点数,赔付率,,
EQ_AUTO_CALL,权益,PREMIUM_RATE,浮点数,溢价率,,
EQ_AUTO_CALL,权益,PRICE_CURVE,字符串,价格曲线,,
EQ_AUTO_CALL,权益,PRODUCT_CODE,字符串,产品代码,,
EQ_AUTO_CALL,权益,SETTLE_CALENDAR,字符串,结算日历,,
EQ_AUTO_CALL,权益,SETTLE_DATE,日期,结算日,,yyyyMMdd
EQ_AUTO_CALL,权益,SETTLE_DAYOFF,整数,结算休息日,,
EQ_AUTO_CALL,权益,SETTLE_RULE,字符串,结算规则,,
EQ_AUTO_CALL,权益,START_DATE,日期,起息日,,yyyyMMdd
EQ_AUTO_CALL,权益,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
EQ_BARRIER,权益,BASE_PAYOFF,浮点数,基础赔付,,
EQ_BARRIER,权益,BUY_OR_SELL,字符串,买卖方向,B/S,
EQ_BARRIER,权益,CONTRACT_SIZE,浮点数,合约乘数,,默认1
EQ_BARRIER,权益,CURRENCY_CODE,字符串,货币代码,,
EQ_BARRIER,权益,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
EQ_BARRIER,权益,DOWN_BARRIER,浮点数,下障碍价,,
EQ_BARRIER,权益,INSTRUMENT_ID,字符串,交易编号,,
EQ_BARRIER,权益,KNOCK_OUT_FLAG,字符串,敲出标志,,
EQ_BARRIER,权益,MATURITY_DATE,日期,到期日,,yyyyMMdd
EQ_BARRIER,权益,OPTION_TYPE,字符串,期权类型,Call/Put/Up/Down/Double,
EQ_BARRIER,权益,PAYOFF_LOWER,浮点数,下行赔付,,
EQ_BARRIER,权益,PRICE_CURVE,字符串,价格曲线,,
EQ_BARRIER,权益,PRODUCT_CODE,字符串,产品代码,,
EQ_BARRIER,权益,SETTLE_DATE,日期,结算日,,yyyyMMdd
EQ_BARRIER,权益,TOUCH_BEFORE_FLAG,字符串,触碰前标志,,
EQ_BARRIER,权益,TRADE_DATE,日期,交易日,,yyyyMMdd
EQ_BARRIER,权益,UPPER_BARRIER,浮点数,上障碍价,,Double时须>DOWN_BARRIER
EQ_BARRIER,权益,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
EQ_BARRIER,权益,VV_FLAG,布尔,VannaVolga开关,true/false,
EQ_DIGITAL,权益,BASE_PAYOFF,浮点数,基础赔付,,
EQ_DIGITAL,权益,BUY_OR_SELL,字符串,买卖方向,B/S,
EQ_DIGITAL,权益,CALL_OR_PUT,字符串,看涨看跌,Call/Put,
EQ_DIGITAL,权益,CONTRACT_SIZE,浮点数,合约乘数,,默认1
EQ_DIGITAL,权益,CURRENCY_CODE,字符串,货币代码,,
EQ_DIGITAL,权益,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
EQ_DIGITAL,权益,INSTRUMENT_ID,字符串,交易编号,,
EQ_DIGITAL,权益,MATURITY_DATE,日期,到期日,,yyyyMMdd
EQ_DIGITAL,权益,PAYOFF_LOWER,浮点数,下行赔付,,
EQ_DIGITAL,权益,PRICE_CURVE,字符串,价格曲线,,
EQ_DIGITAL,权益,PRODUCT_CODE,字符串,产品代码,,
EQ_DIGITAL,权益,SETTLE_DATE,日期,结算日,,yyyyMMdd
EQ_DIGITAL,权益,STRIKE_PRICE,浮点数,行权价,,正数
EQ_DIGITAL,权益,TRADE_DATE,日期,交易日,,yyyyMMdd
EQ_DIGITAL,权益,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
EQ_DIGITAL,权益,VV_FLAG,布尔,VannaVolga开关,true/false,
EQ_RANGE_ACCURE,权益,ABS_FLAG,布尔,绝对值标志,,
EQ_RANGE_ACCURE,权益,BUY_OR_SELL,字符串,买卖方向,B/S,
EQ_RANGE_ACCURE,权益,CURRENCY_CODE,字符串,货币代码,,
EQ_RANGE_ACCURE,权益,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
EQ_RANGE_ACCURE,权益,DOMESTIC_RATE,浮点数,国内利率,,
EQ_RANGE_ACCURE,权益,EPS,浮点数,扰动步长,,
EQ_RANGE_ACCURE,权益,FIXING_ID,字符串,定盘ID,,
EQ_RANGE_ACCURE,权益,FOREIGN_RATE,浮点数,国外利率,,
EQ_RANGE_ACCURE,权益,INSTRUMENT_ID,字符串,交易编号,,
EQ_RANGE_ACCURE,权益,LOWER_BARRIER,浮点数,下障碍,,
EQ_RANGE_ACCURE,权益,MATURITY_DATE,日期,到期日,,yyyyMMdd
EQ_RANGE_ACCURE,权益,NOTIONAL,浮点数,名义金额,,非负有限数
EQ_RANGE_ACCURE,权益,OBS_DATE,字符串,观察日,,
EQ_RANGE_ACCURE,权益,PRICE_CURVE,字符串,价格曲线,,
EQ_RANGE_ACCURE,权益,PRODUCT_CODE,字符串,产品代码,,
EQ_RANGE_ACCURE,权益,RANGE_ACCURE_RATE,浮点数,区间累积收益率,,
EQ_RANGE_ACCURE,权益,RANGE_DIRECTION,字符串,区间方向,,
EQ_RANGE_ACCURE,权益,SETTLE_CURRENCY_CODE,字符串,结算货币,,
EQ_RANGE_ACCURE,权益,SETTLE_DATE,日期,结算日,,yyyyMMdd
EQ_RANGE_ACCURE,权益,SIGMABYGOALSEEK,浮点数,,,
EQ_RANGE_ACCURE,权益,START_DATE,日期,起息日,,yyyyMMdd
EQ_RANGE_ACCURE,权益,UPPER_BARRIER,浮点数,上障碍价,,Double时须>DOWN_BARRIER
EQ_RANGE_ACCURE,权益,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
EQ_SHARKFIN,权益,BASE_CURRENCY_CODE,字符串,基础货币代码,,
EQ_SHARKFIN,权益,BASE_DISCOUNT_CURVE,字符串,基础折现曲线,,
EQ_SHARKFIN,权益,BASE_RATE,浮点数,基础收益率,,
EQ_SHARKFIN,权益,BUY_OR_SELL,字符串,买卖方向,B/S,
EQ_SHARKFIN,权益,CONTRACT_SIZE,浮点数,合约乘数,,默认1
EQ_SHARKFIN,权益,CURRENCY_CODE,字符串,货币代码,,
EQ_SHARKFIN,权益,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
EQ_SHARKFIN,权益,DOWN_BARRIER,浮点数,下障碍价,,
EQ_SHARKFIN,权益,FIXING_ID,字符串,定盘ID,,
EQ_SHARKFIN,权益,INSTRUMENT_ID,字符串,交易编号,,
EQ_SHARKFIN,权益,MATURITY_DATE,日期,到期日,,yyyyMMdd
EQ_SHARKFIN,权益,NOTIONAL,浮点数,名义金额,,非负有限数
EQ_SHARKFIN,权益,OPTION_TYPE,字符串,期权类型,Call/Put/Up/Down/Double,
EQ_SHARKFIN,权益,PRICE_CURVE,字符串,价格曲线,,
EQ_SHARKFIN,权益,PRODUCT_CODE,字符串,产品代码,,
EQ_SHARKFIN,权益,SETTLE_CURRENCY_CODE,字符串,结算货币,,
EQ_SHARKFIN,权益,SETTLE_DATE,日期,结算日,,yyyyMMdd
EQ_SHARKFIN,权益,SETTLE_TYPE,字符串,结算方式,Cash/Physical,
EQ_SHARKFIN,权益,START_DATE,日期,起息日,,yyyyMMdd
EQ_SHARKFIN,权益,STRIKE_PRICE,浮点数,行权价,,正数
EQ_SHARKFIN,权益,TOUCH_RATE,浮点数,触碰收益率,,
EQ_SHARKFIN,权益,TRADE_DATE,日期,交易日,,yyyyMMdd
EQ_SHARKFIN,权益,UNDERLYING_CODE,字符串,标的代码,,
EQ_SHARKFIN,权益,UNDERLYING_CURRENCY_CODE,字符串,标的货币代码,,
EQ_SHARKFIN,权益,UNDERLYING_DISCOUNT_CURVE,字符串,标的折现曲线,,
EQ_SHARKFIN,权益,UPPER_BARRIER,浮点数,上障碍价,,Double时须>DOWN_BARRIER
EQ_SHARKFIN,权益,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
EQ_SHARKFIN,权益,VV_FLAG,布尔,VannaVolga开关,true/false,
EQ_SPREADOPT,权益,BASE_CURRENCY_CODE,字符串,基础货币代码,,
EQ_SPREADOPT,权益,BUY_OR_SELL,字符串,买卖方向,B/S,
EQ_SPREADOPT,权益,CALL_OR_PUT,字符串,看涨看跌,Call/Put,
EQ_SPREADOPT,权益,CONTRACT_SIZE,浮点数,合约乘数,,默认1
EQ_SPREADOPT,权益,CURRENCY_CODE,字符串,货币代码,,
EQ_SPREADOPT,权益,CURRENCY_PAIR,字符串,货币对,,
EQ_SPREADOPT,权益,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
EQ_SPREADOPT,权益,DOWN_BARRIER,浮点数,下障碍价,,
EQ_SPREADOPT,权益,FIXING_ID,字符串,定盘ID,,
EQ_SPREADOPT,权益,INITIAL_PRICE,浮点数,,,
EQ_SPREADOPT,权益,INSTRUMENT_ID,字符串,交易编号,,
EQ_SPREADOPT,权益,MATURITY_DATE,日期,到期日,,yyyyMMdd
EQ_SPREADOPT,权益,NOTIONAL,浮点数,名义金额,,非负有限数
EQ_SPREADOPT,权益,OPTION_TYPE,字符串,期权类型,Call/Put/Up/Down/Double,
EQ_SPREADOPT,权益,PRICE_CURVE,字符串,价格曲线,,
EQ_SPREADOPT,权益,PRODUCT_CODE,字符串,产品代码,,
EQ_SPREADOPT,权益,SETTLE_DATE,日期,结算日,,yyyyMMdd
EQ_SPREADOPT,权益,SETTLE_TYPE,字符串,结算方式,Cash/Physical,
EQ_SPREADOPT,权益,START_DATE,日期,起息日,,yyyyMMdd
EQ_SPREADOPT,权益,STRIKE_PRICE,浮点数,行权价,,正数
EQ_SPREADOPT,权益,TRADE_DATE,日期,交易日,,yyyyMMdd
EQ_SPREADOPT,权益,UNDERLYING_CURRENCY_CODE,字符串,标的货币代码,,
EQ_SPREADOPT,权益,UPPER_BARRIER,浮点数,上障碍价,,Double时须>DOWN_BARRIER
EQ_SPREADOPT,权益,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
EQ_SPREADOPT,权益,VV_FLAG,布尔,VannaVolga开关,true/false,
EQ_STEP_UP,权益,ABS_FLAG,布尔,绝对值标志,,
EQ_STEP_UP,权益,BUY_OR_SELL,字符串,买卖方向,B/S,
EQ_STEP_UP,权益,CALL_OR_PUT,字符串,看涨看跌,Call/Put,
EQ_STEP_UP,权益,CURRENCY_CODE,字符串,货币代码,,
EQ_STEP_UP,权益,DAY_COUNT_BASIS,字符串,日计数基准,"actual/365,actual/360,30/360",
EQ_STEP_UP,权益,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
EQ_STEP_UP,权益,DOMESTIC_RATE,浮点数,国内利率,,
EQ_STEP_UP,权益,EPS,浮点数,扰动步长,,
EQ_STEP_UP,权益,FIXING_DATE,日期,定盘日,,yyyyMMdd
EQ_STEP_UP,权益,FIXING_ID,字符串,定盘ID,,
EQ_STEP_UP,权益,FOREIGN_RATE,浮点数,国外利率,,
EQ_STEP_UP,权益,HIGH_RATE,浮点数,高收益率,,
EQ_STEP_UP,权益,INSTRUMENT_ID,字符串,交易编号,,
EQ_STEP_UP,权益,LOWER_BARRIER,浮点数,下障碍,,
EQ_STEP_UP,权益,LOW_RATE,浮点数,低收益率,,
EQ_STEP_UP,权益,MATURITY_DATE,日期,到期日,,yyyyMMdd
EQ_STEP_UP,权益,MID_RATE,浮点数,中间收益率,,
EQ_STEP_UP,权益,NOTIONAL,浮点数,名义金额,,非负有限数
EQ_STEP_UP,权益,PRICE_CURVE,字符串,价格曲线,,
EQ_STEP_UP,权益,PRODUCT_CODE,字符串,产品代码,,
EQ_STEP_UP,权益,SETTLE_CURRENCY_CODE,字符串,结算货币,,
EQ_STEP_UP,权益,SETTLE_DATE,日期,结算日,,yyyyMMdd
EQ_STEP_UP,权益,SIGMABYGOALSEEK,浮点数,,,
EQ_STEP_UP,权益,START_DATE,日期,起息日,,yyyyMMdd
EQ_STEP_UP,权益,TRADE_DATE,日期,交易日,,yyyyMMdd
EQ_STEP_UP,权益,UNDERLYING_ID,字符串,标的ID,,
EQ_STEP_UP,权益,UNDERLYING_TYPE,字符串,标的类型,,
EQ_STEP_UP,权益,UPPER_BARRIER,浮点数,上障碍价,,Double时须>DOWN_BARRIER
EQ_STEP_UP,权益,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
EQ_STEP_UP,权益,VV_FLAG,布尔,VannaVolga开关,true/false,
EQ_WEDDING_CAKE,权益,ABS_FLAG,布尔,绝对值标志,,
EQ_WEDDING_CAKE,权益,BUY_OR_SELL,字符串,买卖方向,B/S,
EQ_WEDDING_CAKE,权益,CONTRACT_SIZE,浮点数,合约乘数,,默认1
EQ_WEDDING_CAKE,权益,CURRENCY_CODE,字符串,货币代码,,
EQ_WEDDING_CAKE,权益,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
EQ_WEDDING_CAKE,权益,EPS,浮点数,扰动步长,,
EQ_WEDDING_CAKE,权益,FIXING_ID,字符串,定盘ID,,
EQ_WEDDING_CAKE,权益,INNER_LOWER_BARRIER,浮点数,内层下障碍,,
EQ_WEDDING_CAKE,权益,INNER_RATE,浮点数,内层收益率,,
EQ_WEDDING_CAKE,权益,INNER_UPPER_BARRIER,浮点数,内层上障碍,,
EQ_WEDDING_CAKE,权益,INSTRUMENT_ID,字符串,交易编号,,
EQ_WEDDING_CAKE,权益,MATURITY_DATE,日期,到期日,,yyyyMMdd
EQ_WEDDING_CAKE,权益,MID_RATE,浮点数,中间收益率,,
EQ_WEDDING_CAKE,权益,NOTIONAL,浮点数,名义金额,,非负有限数
EQ_WEDDING_CAKE,权益,OUTER_LOWER_BARRIER,浮点数,外层下障碍,,
EQ_WEDDING_CAKE,权益,OUTER_UPPER_BARRIER,浮点数,外层上障碍,,
EQ_WEDDING_CAKE,权益,OUT_RATE,浮点数,外层收益率,,
EQ_WEDDING_CAKE,权益,PRICE_CURVE,字符串,价格曲线,,
EQ_WEDDING_CAKE,权益,PRODUCT_CODE,字符串,产品代码,,
EQ_WEDDING_CAKE,权益,SETTLE_CURRENCY_CODE,字符串,结算货币,,
EQ_WEDDING_CAKE,权益,SETTLE_DATE,日期,结算日,,yyyyMMdd
EQ_WEDDING_CAKE,权益,START_DATE,日期,起息日,,yyyyMMdd
EQ_WEDDING_CAKE,权益,TRADE_DATE,日期,交易日,,yyyyMMdd
EQ_WEDDING_CAKE,权益,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
EQ_WEDDING_CAKE,权益,VV_FLAG,布尔,VannaVolga开关,true/false,
FXFWD,外汇,BASE_CURRENCY_CODE,字符串,基础货币代码,,
FXFWD,外汇,BASE_CURRENCY_NOTIONAL,浮点数,,,
FXFWD,外汇,BASE_DISCOUNT_CURVE,字符串,基础折现曲线,,
FXFWD,外汇,BUY_OR_SELL,字符串,买卖方向,B/S,
FXFWD,外汇,CURRENCY_PAIR,字符串,货币对,,
FXFWD,外汇,FWD_EXCHANGE_RATE,浮点数,,,
FXFWD,外汇,INSTRUMENT_ID,字符串,交易编号,,
FXFWD,外汇,PRODUCT_CODE,字符串,产品代码,,
FXFWD,外汇,SETTLE_DATE,日期,结算日,,yyyyMMdd
FXFWD,外汇,SETTLE_TYPE,字符串,结算方式,Cash/Physical,
FXFWD,外汇,TRADE_DATE,日期,交易日,,yyyyMMdd
FXFWD,外汇,UNDERLYING_CURRENCY_CODE,字符串,标的货币代码,,
FXFWD,外汇,UNDERLYING_CURRENCY_NOTIONAL,浮点数,,,
FXFWD,外汇,UNDERLYING_DISCOUNT_CURVE,字符串,标的折现曲线,,
FXOPT,外汇,BASE_CURRENCY_CODE,字符串,基础货币代码,,
FXOPT,外汇,BASE_DISCOUNT_CURVE,字符串,基础折现曲线,,
FXOPT,外汇,BUY_OR_SELL,字符串,买卖方向,B/S,
FXOPT,外汇,CALL_OR_PUT,字符串,看涨看跌,Call/Put,
FXOPT,外汇,CONTRACT_SIZE,浮点数,合约乘数,,默认1
FXOPT,外汇,CURRENCY_CODE,字符串,货币代码,,
FXOPT,外汇,CURRENCY_PAIR,字符串,货币对,,
FXOPT,外汇,INSTRUMENT_ID,字符串,交易编号,,
FXOPT,外汇,MATURITY_DATE,日期,到期日,,yyyyMMdd
FXOPT,外汇,OPTION_TYPE,字符串,期权类型,Call/Put/Up/Down/Double,
FXOPT,外汇,PRODUCT_CODE,字符串,产品代码,,
FXOPT,外汇,SETTLE_DATE,日期,结算日,,yyyyMMdd
FXOPT,外汇,SETTLE_TYPE,字符串,结算方式,Cash/Physical,
FXOPT,外汇,STRIKE_PRICE,浮点数,行权价,,正数
FXOPT,外汇,TRADE_DATE,日期,交易日,,yyyyMMdd
FXOPT,外汇,UNDERLYING_CURRENCY_CODE,字符串,标的货币代码,,
FXOPT,外汇,UNDERLYING_DISCOUNT_CURVE,字符串,标的折现曲线,,
FXOPT,外汇,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
FXSWAP,外汇,BASE_CURRENCY_CODE,字符串,基础货币代码,,
FXSWAP,外汇,BASE_CURRENCY_NOTIONAL_FWD,浮点数,,,
FXSWAP,外汇,BASE_CURRENCY_NOTIONAL_SPOT,浮点数,,,
FXSWAP,外汇,BASE_DISCOUNT_CURVE,字符串,基础折现曲线,,
FXSWAP,外汇,BUY_OR_SELL,字符串,买卖方向,B/S,
FXSWAP,外汇,CURRENCY_PAIR,字符串,货币对,,
FXSWAP,外汇,FWD_EXCHANGE_RATE,浮点数,,,
FXSWAP,外汇,FWD_SETTLE_DATE,日期,,,
FXSWAP,外汇,INSTRUMENT_ID,字符串,交易编号,,
FXSWAP,外汇,PRODUCT_CODE,字符串,产品代码,,
FXSWAP,外汇,SETTLE_TYPE,字符串,结算方式,Cash/Physical,
FXSWAP,外汇,SPOT_EXCHANGE_RATE,浮点数,,,
FXSWAP,外汇,SPOT_SETTLE_DATE,日期,,,
FXSWAP,外汇,TRADE_DATE,日期,交易日,,yyyyMMdd
FXSWAP,外汇,UNDERLYING_CURRENCY_CODE,字符串,标的货币代码,,
FXSWAP,外汇,UNDERLYING_CURRENCY_NOTIONAL_FWD,浮点数,,,
FXSWAP,外汇,UNDERLYING_CURRENCY_NOTIONAL_SPOT,浮点数,,,
FXSWAP,外汇,UNDERLYING_DISCOUNT_CURVE,字符串,标的折现曲线,,
FX_AUTO_CALL,外汇,BARRIER,浮点数,障碍价,,
FX_AUTO_CALL,外汇,BARRIER_DIRECTION,字符串,障碍方向,Up/Down,
FX_AUTO_CALL,外汇,BASE_CURRENCY_CODE,字符串,基础货币代码,,
FX_AUTO_CALL,外汇,BASE_DISCOUNT_CURVE,字符串,基础折现曲线,,
FX_AUTO_CALL,外汇,BUY_OR_SELL,字符串,买卖方向,B/S,
FX_AUTO_CALL,外汇,CURRENCY_CODE,字符串,货币代码,,
FX_AUTO_CALL,外汇,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
FX_AUTO_CALL,外汇,FIXING_ID,字符串,定盘ID,,
FX_AUTO_CALL,外汇,INSTRUMENT_ID,字符串,交易编号,,
FX_AUTO_CALL,外汇,NOTIONAL,浮点数,名义金额,,非负有限数
FX_AUTO_CALL,外汇,OBS_DATE,字符串,观察日,,
FX_AUTO_CALL,外汇,PATH_FLAG,布尔,路径标志,,
FX_AUTO_CALL,外汇,PATH_NB,整数,模拟路径数,,
FX_AUTO_CALL,外汇,PAYOFF_RATE,浮点数,赔付率,,
FX_AUTO_CALL,外汇,PREMIUM_RATE,浮点数,溢价率,,
FX_AUTO_CALL,外汇,PRODUCT_CODE,字符串,产品代码,,
FX_AUTO_CALL,外汇,SETTLE_CALENDAR,字符串,结算日历,,
FX_AUTO_CALL,外汇,SETTLE_DATE,日期,结算日,,yyyyMMdd
FX_AUTO_CALL,外汇,SETTLE_DAYOFF,整数,结算休息日,,
FX_AUTO_CALL,外汇,SETTLE_RULE,字符串,结算规则,,
FX_AUTO_CALL,外汇,START_DATE,日期,起息日,,yyyyMMdd
FX_AUTO_CALL,外汇,UNDERLYING_CURRENCY_CODE,字符串,标的货币代码,,
FX_AUTO_CALL,外汇,UNDERLYING_DISCOUNT_CURVE,字符串,标的折现曲线,,
FX_AUTO_CALL,外汇,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
FX_BARRIER,外汇,BASE_CURRENCY_CODE,字符串,基础货币代码,,
FX_BARRIER,外汇,BASE_DISCOUNT_CURVE,字符串,基础折现曲线,,
FX_BARRIER,外汇,BASE_PAYOFF,浮点数,基础赔付,,
FX_BARRIER,外汇,BUY_OR_SELL,字符串,买卖方向,B/S,
FX_BARRIER,外汇,CONTRACT_SIZE,浮点数,合约乘数,,默认1
FX_BARRIER,外汇,CURRENCY_CODE,字符串,货币代码,,
FX_BARRIER,外汇,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
FX_BARRIER,外汇,DOWN_BARRIER,浮点数,下障碍价,,
FX_BARRIER,外汇,INSTRUMENT_ID,字符串,交易编号,,
FX_BARRIER,外汇,KNOCK_OUT_FLAG,字符串,敲出标志,,
FX_BARRIER,外汇,MATURITY_DATE,日期,到期日,,yyyyMMdd
FX_BARRIER,外汇,OPTION_TYPE,字符串,期权类型,Call/Put/Up/Down/Double,
FX_BARRIER,外汇,PAYOFF_LOWER,浮点数,下行赔付,,
FX_BARRIER,外汇,PRODUCT_CODE,字符串,产品代码,,
FX_BARRIER,外汇,SETTLE_CURRENCY_CODE,字符串,结算货币,,
FX_BARRIER,外汇,SETTLE_DATE,日期,结算日,,yyyyMMdd
FX_BARRIER,外汇,SETTLE_TYPE,字符串,结算方式,Cash/Physical,
FX_BARRIER,外汇,TOUCH_BEFORE_FLAG,字符串,触碰前标志,,
FX_BARRIER,外汇,TRADE_DATE,日期,交易日,,yyyyMMdd
FX_BARRIER,外汇,UNDERLYING_CURRENCY_CODE,字符串,标的货币代码,,
FX_BARRIER,外汇,UNDERLYING_DISCOUNT_CURVE,字符串,标的折现曲线,,
FX_BARRIER,外汇,UPPER_BARRIER,浮点数,上障碍价,,Double时须>DOWN_BARRIER
FX_BARRIER,外汇,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
FX_BARRIER,外汇,VV_FLAG,布尔,VannaVolga开关,true/false,
FX_DIGITAL,外汇,BASE_CURRENCY_CODE,字符串,基础货币代码,,
FX_DIGITAL,外汇,BASE_DISCOUNT_CURVE,字符串,基础折现曲线,,
FX_DIGITAL,外汇,BASE_PAYOFF,浮点数,基础赔付,,
FX_DIGITAL,外汇,BUY_OR_SELL,字符串,买卖方向,B/S,
FX_DIGITAL,外汇,CALL_OR_PUT,字符串,看涨看跌,Call/Put,
FX_DIGITAL,外汇,CONTRACT_SIZE,浮点数,合约乘数,,默认1
FX_DIGITAL,外汇,CURRENCY_CODE,字符串,货币代码,,
FX_DIGITAL,外汇,CURRENCY_PAIR,字符串,货币对,,
FX_DIGITAL,外汇,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
FX_DIGITAL,外汇,INSTRUMENT_ID,字符串,交易编号,,
FX_DIGITAL,外汇,MATURITY_DATE,日期,到期日,,yyyyMMdd
FX_DIGITAL,外汇,PAYOFF_LOWER,浮点数,下行赔付,,
FX_DIGITAL,外汇,PRODUCT_CODE,字符串,产品代码,,
FX_DIGITAL,外汇,SETTLE_CURRENCY_CODE,字符串,结算货币,,
FX_DIGITAL,外汇,SETTLE_DATE,日期,结算日,,yyyyMMdd
FX_DIGITAL,外汇,SETTLE_TYPE,字符串,结算方式,Cash/Physical,
FX_DIGITAL,外汇,STRIKE_PRICE,浮点数,行权价,,正数
FX_DIGITAL,外汇,TRADE_DATE,日期,交易日,,yyyyMMdd
FX_DIGITAL,外汇,UNDERLYING_CURRENCY_CODE,字符串,标的货币代码,,
FX_DIGITAL,外汇,UNDERLYING_DISCOUNT_CURVE,字符串,标的折现曲线,,
FX_DIGITAL,外汇,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
FX_DIGITAL,外汇,VV_FLAG,布尔,VannaVolga开关,true/false,
FX_MC_SHARKFIN,外汇,BASE_CURRENCY_CODE,字符串,基础货币代码,,
FX_MC_SHARKFIN,外汇,BASE_DISCOUNT_CURVE,字符串,基础折现曲线,,
FX_MC_SHARKFIN,外汇,BUY_OR_SELL,字符串,买卖方向,B/S,
FX_MC_SHARKFIN,外汇,CURRENCY_CODE,字符串,货币代码,,
FX_MC_SHARKFIN,外汇,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
FX_MC_SHARKFIN,外汇,DOWN_BARRIER,浮点数,下障碍价,,
FX_MC_SHARKFIN,外汇,DOWN_TOUCH_PAY,浮点数,,,
FX_MC_SHARKFIN,外汇,INSTRUMENT_ID,字符串,交易编号,,
FX_MC_SHARKFIN,外汇,MATURITY_DATE,日期,到期日,,yyyyMMdd
FX_MC_SHARKFIN,外汇,NOTIONAL,浮点数,名义金额,,非负有限数
FX_MC_SHARKFIN,外汇,OBS_DATE,字符串,观察日,,
FX_MC_SHARKFIN,外汇,OPTION_TYPE,字符串,期权类型,Call/Put/Up/Down/Double,
FX_MC_SHARKFIN,外汇,PATH_FLAG,布尔,路径标志,,
FX_MC_SHARKFIN,外汇,PATH_NB,整数,模拟路径数,,
FX_MC_SHARKFIN,外汇,PRODUCT_CODE,字符串,产品代码,,
