产品类型,资产大类,字段,字段类型,字段含义,值域,特殊规则
CAPFLOOR,利率,MATURITY_DATE,日期,到期日,,yyyyMMdd
CAPFLOOR,利率,NOTIONAL,浮点数,名义金额,,非负有限数
CAPFLOOR,利率,NOTIONAL_FLAG,字符串,名义标志,,
CAPFLOOR,利率,PAY_FREQ,字符串,付息频率,M/Q/S/A,
CAPFLOOR,利率,PRODUCT_CODE,字符串,产品代码,,
CAPFLOOR,利率,RESET_FREQ,字符串,重置频率,M/Q/S/A,
CAPFLOOR,利率,SETTLE_CALENDAR,字符串,结算日历,,
CAPFLOOR,利率,SETTLE_DAYOFF,整数,结算休息日,,
CAPFLOOR,利率,SETTLE_RULE,字符串,结算规则,,
CAPFLOOR,利率,SPREAD,浮点数,点差,,
CAPFLOOR,利率,START_DATE,日期,起息日,,yyyyMMdd
CAPFLOOR,利率,STRIKE_RATE,浮点数,,,
CAPFLOOR,利率,TRADE_DATE,日期,交易日,,yyyyMMdd
CAPFLOOR,利率,VALUATION_MODEL,字符串,,,
CAPFLOOR,利率,VOLATILITY_RATE,浮点数,,,
CAPFLOOR,利率,VOLATILITY_SURFACE,字符串,波动率曲面,,引用市场数据波动率曲面key
CDS,信用,BUY_OR_SELL,字符串,买卖方向,B/S,
CDS,信用,CURRENCY_CODE,字符串,货币代码,,
CDS,信用,DAY_COUNT_BASIS,字符串,日计数基准,"actual/365,actual/360,30/360",
CDS,信用,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
CDS,信用,EXPECTED_CASHFLOW,浮点数,,,
CDS,信用,FIXED_PREMIUM,字符串,,,
CDS,信用,FIXED_RATE,浮点数,,,
CDS,信用,INSTRUMENT_ID,字符串,交易编号,,
CDS,信用,INTEREST_STUB,字符串,利息存根,,
CDS,信用,MATURITY_DATE,日期,到期日,,yyyyMMdd
CDS,信用,NOTIONAL,浮点数,名义金额,,非负有限数
CDS,信用,PAY_FREQ,字符串,付息频率,M/Q/S/A,
CDS,信用,PRODUCT_CODE,字符串,产品代码,,
CDS,信用,RECOVERY_RATE,浮点数,回收率,,
CDS,信用,SETTLE_CALENDAR,字符串,结算日历,,
CDS,信用,START_DATE,日期,起息日,,yyyyMMdd
CDS,信用,TRADE_DATE,日期,交易日,,yyyyMMdd
CDS,信用,UNDERLYING_BOND_ID,字符串,,,
CDS,信用,UNDERLYING_DISCOUNT_FACTOR,浮点数,,,
CDS,信用,UNDERLYING_ISSUER_ID,字符串,,,
COMMFWD,商品,BUY_OR_SELL,字符串,买卖方向,B/S,
COMMFWD,商品,CONTRACT_SIZE,浮点数,合约乘数,,默认1
COMMFWD,商品,CURRENCY_CODE,字符串,货币代码,,
COMMFWD,商品,DISCOUNT_CURVE,字符串,折现曲线,,引用市场数据折现曲线key
COMMFWD,商品,FRTB_COMM_ASSET,字符串,,,
COMMFWD,商品,FRTB_COMM_BUCKET,字符串,,,
COMMFWD,商品,FRTB_COMM_LOCATION,字符串,,,
COMMFWD,商品,INSTRUMENT_ID,字符串,交易编号,,
COMMFWD,商品,MATURITY_DATE,日期,到期日,,yyyyMMdd
COMMFWD,商品,PRICE_CURVE,字符串,价格曲线,,
COMMFWD,商品,PRODUCT_CODE,字符串,产品代码,,
COMMFWD,商品,SETTLE_DATE,日期,结算日,,yyyyMMdd
COMMFWD,商品,STRIKE_CURRENCY_CODE,字符串,,,
