产品类型,资产大类,字段,Java字段名,字段类型,字段含义,值域,特殊规则
COMM_SHARKFIN,商品,FRTB_COMM_ASSET,frtbCommAsset,字符串,,,
COMM_SHARKFIN,商品,FRTB_COMM_BUCKET,frtbCommBucket,字符串,,,
COMM_SHARKFIN,商品,FRTB_COMM_LOCATION,frtbCommLocation,字符串,,,
COMM_SHARKFIN,商品,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
COMM_SHARKFIN,商品,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
COMM_SHARKFIN,商品,NOTIONAL,notional,浮点数,名义金额,,非负有限数；数据域=TRADE；必填(校验规则)
COMM_SHARKFIN,商品,OPTION_TYPE,optionType,字符串,期权类型,,数据域=TRADE；必填(校验规则)
COMM_SHARKFIN,商品,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
COMM_SHARKFIN,商品,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,数据域=TRADE；必填(校验规则)
COMM_SHARKFIN,商品,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
COMM_SHARKFIN,商品,SETTLE_TYPE,settleType,字符串,结算方式,Cash/Physical,数据域=TRADE；默认值=CASH
COMM_SHARKFIN,商品,START_DATE,startDate,日期,起息日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
COMM_SHARKFIN,商品,STRIKE_PRICE,strikePrice,浮点数,行权价,,正数；数据域=TRADE；必填(校验规则)
COMM_SHARKFIN,商品,TOUCH_RATE,touchRate,浮点数,触碰收益率,,数据域=TRADE；必填(校验规则)
COMM_SHARKFIN,商品,UNDERLYING_CODE,underlyingCode,字符串,标的代码,,
COMM_SHARKFIN,商品,UPPER_BARRIER,upBarrierPrice,浮点数,上障碍价,,数据域=TRADE；必填(校验规则)
COMM_SHARKFIN,商品,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key；数据域=TRADE；必填(校验规则)
COMM_SHARKFIN,商品,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
COMM_SPREADOPT,商品,BASE_CURRENCY_CODE,baseCurrencyCode,字符串,基础货币代码,,
COMM_SPREADOPT,商品,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B|S,数据域=TRADE；必填(校验规则)
COMM_SPREADOPT,商品,CALL_OR_PUT,callOrPut,字符串,看涨看跌,Call/Put,数据域=TRADE；默认值=CALL
COMM_SPREADOPT,商品,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1；数据域=TRADE；必填(校验规则)；默认值=1
COMM_SPREADOPT,商品,CURRENCY_CODE,currencyCode,字符串,货币代码,,数据域=TRADE；必填(校验规则)
COMM_SPREADOPT,商品,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key；数据域=TRADE；必填(校验规则)
COMM_SPREADOPT,商品,DOWN_BARRIER,downBarrierPrice,浮点数,下障碍价,,数据域=TRADE；必填(校验规则)
COMM_SPREADOPT,商品,FIXING_ID,fixingId,字符串,定盘ID,,
COMM_SPREADOPT,商品,FRTB_COMM_ASSET,frtbCommAsset,字符串,,,
COMM_SPREADOPT,商品,FRTB_COMM_BUCKET,frtbCommBucket,字符串,,,
COMM_SPREADOPT,商品,FRTB_COMM_LOCATION,frtbCommLocation,字符串,,,
COMM_SPREADOPT,商品,INITIAL_PRICE,initialPrice,浮点数,,,数据域=TRADE；必填(校验规则)
COMM_SPREADOPT,商品,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
COMM_SPREADOPT,商品,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
COMM_SPREADOPT,商品,NOTIONAL,notional,浮点数,名义金额,,非负有限数；数据域=TRADE；必填(校验规则)
COMM_SPREADOPT,商品,OPTION_TYPE,optionType,字符串,期权类型,Call|Put,数据域=TRADE；必填(校验规则)
COMM_SPREADOPT,商品,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
COMM_SPREADOPT,商品,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,数据域=TRADE；必填(校验规则)
COMM_SPREADOPT,商品,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
COMM_SPREADOPT,商品,SETTLE_TYPE,settleType,字符串,结算方式,Cash/Physical,数据域=TRADE；必填(校验规则)；默认值=CASH
COMM_SPREADOPT,商品,START_DATE,startDate,日期,起息日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
COMM_SPREADOPT,商品,STRIKE_PRICE,strikePrice,浮点数,行权价,,正数
COMM_SPREADOPT,商品,UNDERLYING_CODE,underlyingCode,字符串,,,
COMM_SPREADOPT,商品,UNDERLYING_CURRENCY_CODE,underlyingCurrencyCode,字符串,标的货币代码,,
COMM_SPREADOPT,商品,UPPER_BARRIER,upBarrierPrice,浮点数,上障碍价,,数据域=TRADE；必填(校验规则)
COMM_SPREADOPT,商品,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key；数据域=TRADE；必填(校验规则)
COMM_SPREADOPT,商品,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
COMM_STEP_UP,商品,ABS_FLAG,absFlag,布尔,,,
COMM_STEP_UP,商品,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
COMM_STEP_UP,商品,CALL_OR_PUT,callOrPut,字符串,看涨看跌,Call/Put,
COMM_STEP_UP,商品,CURRENCY_CODE,currencyCode,字符串,货币代码,,
COMM_STEP_UP,商品,DAY_COUNT_BASIS,dayCountBasis,字符串,日计数基准,"actual/365,actual/360,30/360",
COMM_STEP_UP,商品,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
COMM_STEP_UP,商品,EPS,eps,浮点数,,,
COMM_STEP_UP,商品,FIXING_DATE,fixingDate,日期,,,
COMM_STEP_UP,商品,FIXING_ID,fixingId,字符串,定盘ID,,
COMM_STEP_UP,商品,FRTB_COMM_ASSET,frtbCommAsset,字符串,,,
COMM_STEP_UP,商品,FRTB_COMM_BUCKET,frtbCommBucket,字符串,,,
COMM_STEP_UP,商品,FRTB_COMM_LOCATION,frtbCommLocation,字符串,,,
COMM_STEP_UP,商品,HIGH_RATE,highRate,浮点数,高收益率,,
COMM_STEP_UP,商品,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
COMM_STEP_UP,商品,LOWER_BARRIER,lowerBarrier,浮点数,下障碍,,
COMM_STEP_UP,商品,LOW_RATE,lowRate,浮点数,低收益率,,
COMM_STEP_UP,商品,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd
COMM_STEP_UP,商品,MID_RATE,midRate,浮点数,中间收益率,,
COMM_STEP_UP,商品,MODEL_TYPE,modelType,字符串,,CONST_VOL|LOCAL_VOL|HESTON,
COMM_STEP_UP,商品,NOTIONAL,notional,浮点数,名义金额,,非负有限数
COMM_STEP_UP,商品,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
COMM_STEP_UP,商品,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,
COMM_STEP_UP,商品,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd
COMM_STEP_UP,商品,START_DATE,startDate,日期,起息日,,yyyyMMdd
COMM_STEP_UP,商品,UNDERLYING_CODE,underlyingCode,字符串,标的代码,,
COMM_STEP_UP,商品,UPPER_BARRIER,upperBarrier,浮点数,上障碍价,,
COMM_STEP_UP,商品,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key
COMM_STEP_UP,商品,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
COMM_WEDDING_CAKE,商品,ABS_FLAG,absFlag,布尔,,,
COMM_WEDDING_CAKE,商品,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B|S,数据域=TRADE；必填(校验规则)
COMM_WEDDING_CAKE,商品,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1；数据域=TRADE；必填(校验规则)
COMM_WEDDING_CAKE,商品,CURRENCY_CODE,currencyCode,字符串,货币代码,,数据域=TRADE；必填(校验规则)
COMM_WEDDING_CAKE,商品,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
COMM_WEDDING_CAKE,商品,EPS,eps,浮点数,,,
COMM_WEDDING_CAKE,商品,FIXING_ID,fixingId,字符串,定盘ID,,
COMM_WEDDING_CAKE,商品,FRTB_COMM_ASSET,frtbCommAsset,字符串,,,
COMM_WEDDING_CAKE,商品,FRTB_COMM_BUCKET,frtbCommBucket,字符串,,,
COMM_WEDDING_CAKE,商品,FRTB_COMM_LOCATION,frtbCommLocation,字符串,,,
COMM_WEDDING_CAKE,商品,INNER_LOWER_BARRIER,innerLowerBarrier,浮点数,内层下障碍,,数据域=TRADE；必填(校验规则)
COMM_WEDDING_CAKE,商品,INNER_RATE,innerRate,浮点数,内层收益率,,数据域=TRADE；必填(校验规则)
COMM_WEDDING_CAKE,商品,INNER_UPPER_BARRIER,innerUpperBarrier,浮点数,内层上障碍,,数据域=TRADE；必填(校验规则)
COMM_WEDDING_CAKE,商品,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
COMM_WEDDING_CAKE,商品,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
COMM_WEDDING_CAKE,商品,MID_RATE,midRate,浮点数,中间收益率,,数据域=TRADE；必填(校验规则)
COMM_WEDDING_CAKE,商品,NOTIONAL,notional,浮点数,名义金额,,非负有限数；数据域=TRADE；必填(校验规则)
COMM_WEDDING_CAKE,商品,OUTER_LOWER_BARRIER,outerLowerBarrier,浮点数,外层下障碍,,数据域=TRADE；必填(校验规则)
COMM_WEDDING_CAKE,商品,OUTER_UPPER_BARRIER,outerUpperBarrier,浮点数,外层上障碍,,数据域=TRADE；必填(校验规则)
COMM_WEDDING_CAKE,商品,OUT_RATE,outRate,浮点数,外层收益率,,数据域=TRADE；必填(校验规则)
COMM_WEDDING_CAKE,商品,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
COMM_WEDDING_CAKE,商品,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,数据域=TRADE；必填(校验规则)
COMM_WEDDING_CAKE,商品,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
COMM_WEDDING_CAKE,商品,START_DATE,startDate,日期,起息日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
COMM_WEDDING_CAKE,商品,UNDERLYING_CODE,underlyingCode,字符串,,,
COMM_WEDDING_CAKE,商品,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key；数据域=TRADE；必填(校验规则)
COMM_WEDDING_CAKE,商品,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
EQ_ASIAN,权益,BUY_OR_SELL,buyOrSell,字符串,,B|S,数据域=TRADE；必填(校验规则)
EQ_ASIAN,权益,CALL_OR_PUT,callOrPut,字符串,,CALL|PUT,数据域=TRADE；必填(校验规则)
EQ_ASIAN,权益,CONTRACT_SIZE,contractSize,浮点数,,,数据域=TRADE；必填(校验规则)
EQ_ASIAN,权益,CURRENCY_CODE,currencyCode,字符串,,,数据域=TRADE；必填(校验规则)
EQ_ASIAN,权益,DISCOUNT_CURVE,discountCurve,字符串,,,数据域=TRADE；必填(校验规则)
EQ_ASIAN,权益,FIXING_ID,fixingId,字符串,,,数据域=TRADE；必填(校验规则)
EQ_ASIAN,权益,FRTB_EQ_BUCKET,frtbEqBucket,字符串,,,数据域=TRADE；必填(校验规则)
EQ_ASIAN,权益,INSTRUMENT_ID,instrumentId,字符串,,,数据域=TRADE；通用校验字段(存在时校验)
EQ_ASIAN,权益,MATURITY_DATE,maturityDate,日期,,,数据域=TRADE；必填(校验规则)
EQ_ASIAN,权益,OBS_END_DATE,obsEndDate,日期,,,数据域=TRADE；必填(校验规则)
EQ_ASIAN,权益,OBS_START_DATE,obsStartDate,日期,,,数据域=TRADE；必填(校验规则)
EQ_ASIAN,权益,PRODUCT_CODE,productCode,字符串,,,数据域=TRADE；通用校验字段(存在时校验)
EQ_ASIAN,权益,REFERENCE_CURVE,referenceCurve,字符串,,,数据域=TRADE；必填(校验规则)
EQ_ASIAN,权益,SETTLE_DATE,settleDate,日期,,,数据域=TRADE；必填(校验规则)
EQ_ASIAN,权益,SETTLE_TYPE,settleType,字符串,,,数据域=TRADE；必填(校验规则)
EQ_ASIAN,权益,STRIKE_PRICE,strikePrice,浮点数,,,数据域=TRADE；必填(校验规则)
EQ_ASIAN,权益,VOLATILITY_SURFACE,volatilitySurface,字符串,,,数据域=TRADE；必填(校验规则)
EQ_BARRIER,权益,BASE_PAYOFF,basePayoff,浮点数,基础赔付,,
EQ_BARRIER,权益,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
EQ_BARRIER,权益,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1
EQ_BARRIER,权益,CURRENCY_CODE,currencyCode,字符串,货币代码,,
EQ_BARRIER,权益,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
EQ_BARRIER,权益,DOWN_BARRIER,downBarrierPrice,浮点数,下障碍价,,
EQ_BARRIER,权益,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
EQ_BARRIER,权益,KNOCK_OUT_FLAG,knockOutFlag,字符串,敲出标志,,
EQ_BARRIER,权益,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd
EQ_BARRIER,权益,OPTION_TYPE,optionType,字符串,期权类型,,
EQ_BARRIER,权益,PAYOFF_LOWER,payoffLower,浮点数,下行赔付,,
EQ_BARRIER,权益,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
EQ_BARRIER,权益,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,
EQ_BARRIER,权益,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd
EQ_BARRIER,权益,TOUCH_BEFORE_FLAG,touchBeforeFlag,字符串,,,
EQ_BARRIER,权益,UPPER_BARRIER,upBarrierPrice,浮点数,上障碍价,,
EQ_BARRIER,权益,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key
EQ_BARRIER,权益,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
EQ_DIGITAL,权益,BASE_PAYOFF,basePayoff,浮点数,基础赔付,,
EQ_DIGITAL,权益,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
EQ_DIGITAL,权益,CALL_OR_PUT,callOrPut,字符串,看涨看跌,Call/Put,
EQ_DIGITAL,权益,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1
EQ_DIGITAL,权益,CURRENCY_CODE,currencyCode,字符串,货币代码,,
EQ_DIGITAL,权益,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
EQ_DIGITAL,权益,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
EQ_DIGITAL,权益,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd
EQ_DIGITAL,权益,PAYOFF_LOWER,payoffLower,浮点数,下行赔付,,
EQ_DIGITAL,权益,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
EQ_DIGITAL,权益,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,
EQ_DIGITAL,权益,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd
EQ_DIGITAL,权益,STRIKE_PRICE,strikePrice,浮点数,行权价,,正数
EQ_DIGITAL,权益,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key
EQ_DIGITAL,权益,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
EQ_RANGE_ACCURE,权益,ABS_FLAG,absFlag,布尔,,,
EQ_RANGE_ACCURE,权益,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
EQ_RANGE_ACCURE,权益,CURRENCY_CODE,currencyCode,字符串,货币代码,,
EQ_RANGE_ACCURE,权益,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
EQ_RANGE_ACCURE,权益,EPS,eps,浮点数,,,
EQ_RANGE_ACCURE,权益,FIXING_ID,fixingId,字符串,定盘ID,,
EQ_RANGE_ACCURE,权益,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
EQ_RANGE_ACCURE,权益,LOWER_BARRIER,lowerBarrier,浮点数,下障碍,,
EQ_RANGE_ACCURE,权益,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd
EQ_RANGE_ACCURE,权益,MODEL_TYPE,modelType,字符串,,CONST_VOL|LOCAL_VOL|HESTON,
EQ_RANGE_ACCURE,权益,NOTIONAL,notional,浮点数,名义金额,,非负有限数
EQ_RANGE_ACCURE,权益,OBS_DATES,obsDates,字符串,,,
EQ_RANGE_ACCURE,权益,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
EQ_RANGE_ACCURE,权益,RANGE_ACCURE_RATE,rangeAccureRate,浮点数,,,
EQ_RANGE_ACCURE,权益,RANGE_DIRECTION,rangeDirection,字符串,区间方向,,
EQ_RANGE_ACCURE,权益,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,
EQ_RANGE_ACCURE,权益,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd
EQ_RANGE_ACCURE,权益,START_DATE,startDate,日期,起息日,,yyyyMMdd
EQ_RANGE_ACCURE,权益,UPPER_BARRIER,upperBarrier,浮点数,上障碍价,,
EQ_RANGE_ACCURE,权益,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key
EQ_SHARKFIN,权益,BASE_RATE,baseRate,浮点数,基础收益率,,数据域=TRADE；必填(校验规则)
EQ_SHARKFIN,权益,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B|S,数据域=TRADE；必填(校验规则)
EQ_SHARKFIN,权益,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1；数据域=TRADE；默认值=1
EQ_SHARKFIN,权益,CURRENCY_CODE,currencyCode,字符串,货币代码,,数据域=TRADE；必填(校验规则)
EQ_SHARKFIN,权益,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
EQ_SHARKFIN,权益,DOWN_BARRIER,downBarrierPrice,浮点数,下障碍价,,数据域=TRADE；必填(校验规则)
EQ_SHARKFIN,权益,FIXING_ID,fixingId,字符串,定盘ID,,
EQ_SHARKFIN,权益,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
EQ_SHARKFIN,权益,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
EQ_SHARKFIN,权益,NOTIONAL,notional,浮点数,名义金额,,非负有限数；数据域=TRADE；必填(校验规则)
EQ_SHARKFIN,权益,OPTION_TYPE,optionType,字符串,期权类型,,数据域=TRADE；必填(校验规则)
EQ_SHARKFIN,权益,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
EQ_SHARKFIN,权益,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,数据域=TRADE；必填(校验规则)
EQ_SHARKFIN,权益,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
EQ_SHARKFIN,权益,SETTLE_TYPE,settleType,字符串,结算方式,Cash/Physical,数据域=TRADE；默认值=CASH
EQ_SHARKFIN,权益,START_DATE,startDate,日期,起息日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
EQ_SHARKFIN,权益,STRIKE_PRICE,strikePrice,浮点数,行权价,,正数；数据域=TRADE；必填(校验规则)
EQ_SHARKFIN,权益,TOUCH_RATE,touchRate,浮点数,触碰收益率,,数据域=TRADE；必填(校验规则)
EQ_SHARKFIN,权益,UNDERLYING_CODE,underlyingCode,字符串,标的代码,,
EQ_SHARKFIN,权益,UPPER_BARRIER,upBarrierPrice,浮点数,上障碍价,,数据域=TRADE；必填(校验规则)
EQ_SHARKFIN,权益,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key；数据域=TRADE；必填(校验规则)
EQ_SHARKFIN,权益,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
EQ_SPREADOPT,权益,BASE_CURRENCY_CODE,baseCurrencyCode,字符串,基础货币代码,,
EQ_SPREADOPT,权益,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B|S,数据域=TRADE；必填(校验规则)
EQ_SPREADOPT,权益,CALL_OR_PUT,callOrPut,字符串,看涨看跌,Call/Put,数据域=TRADE；默认值=CALL
EQ_SPREADOPT,权益,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1；数据域=TRADE；必填(校验规则)；默认值=1
EQ_SPREADOPT,权益,CURRENCY_CODE,currencyCode,字符串,货币代码,,数据域=TRADE；必填(校验规则)
EQ_SPREADOPT,权益,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key；数据域=TRADE；必填(校验规则)
EQ_SPREADOPT,权益,DOWN_BARRIER,downBarrierPrice,浮点数,下障碍价,,数据域=TRADE；必填(校验规则)
EQ_SPREADOPT,权益,FIXING_ID,fixingId,字符串,定盘ID,,
EQ_SPREADOPT,权益,INITIAL_PRICE,initialPrice,浮点数,,,数据域=TRADE；必填(校验规则)
EQ_SPREADOPT,权益,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
EQ_SPREADOPT,权益,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
EQ_SPREADOPT,权益,NOTIONAL,notional,浮点数,名义金额,,非负有限数；数据域=TRADE；必填(校验规则)
EQ_SPREADOPT,权益,OPTION_TYPE,optionType,字符串,期权类型,Call|Put,数据域=TRADE；必填(校验规则)
EQ_SPREADOPT,权益,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
EQ_SPREADOPT,权益,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,数据域=TRADE；必填(校验规则)
EQ_SPREADOPT,权益,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
EQ_SPREADOPT,权益,SETTLE_TYPE,settleType,字符串,结算方式,Cash/Physical,数据域=TRADE；必填(校验规则)；默认值=CASH
EQ_SPREADOPT,权益,START_DATE,startDate,日期,起息日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
EQ_SPREADOPT,权益,STRIKE_PRICE,strikePrice,浮点数,行权价,,正数
EQ_SPREADOPT,权益,UNDERLYING_CURRENCY_CODE,underlyingCurrencyCode,字符串,标的货币代码,,
EQ_SPREADOPT,权益,UPPER_BARRIER,upBarrierPrice,浮点数,上障碍价,,数据域=TRADE；必填(校验规则)
EQ_SPREADOPT,权益,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key；数据域=TRADE；必填(校验规则)
EQ_SPREADOPT,权益,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
EQ_STEP_UP,权益,ABS_FLAG,absFlag,布尔,,,
EQ_STEP_UP,权益,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B/S,
EQ_STEP_UP,权益,CALL_OR_PUT,callOrPut,字符串,看涨看跌,Call/Put,
EQ_STEP_UP,权益,CURRENCY_CODE,currencyCode,字符串,货币代码,,
EQ_STEP_UP,权益,DAY_COUNT_BASIS,dayCountBasis,字符串,日计数基准,"actual/365,actual/360,30/360",
EQ_STEP_UP,权益,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
EQ_STEP_UP,权益,EPS,eps,浮点数,,,
EQ_STEP_UP,权益,FIXING_DATE,fixingDate,日期,,,
EQ_STEP_UP,权益,FIXING_ID,fixingId,字符串,定盘ID,,
EQ_STEP_UP,权益,HIGH_RATE,highRate,浮点数,高收益率,,
EQ_STEP_UP,权益,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
EQ_STEP_UP,权益,LOWER_BARRIER,lowerBarrier,浮点数,下障碍,,
EQ_STEP_UP,权益,LOW_RATE,lowRate,浮点数,低收益率,,
EQ_STEP_UP,权益,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd
EQ_STEP_UP,权益,MID_RATE,midRate,浮点数,中间收益率,,
EQ_STEP_UP,权益,MODEL_TYPE,modelType,字符串,,CONST_VOL|LOCAL_VOL|HESTON,
EQ_STEP_UP,权益,NOTIONAL,notional,浮点数,名义金额,,非负有限数
EQ_STEP_UP,权益,PRODUCT_CODE,productCode,字符串,产品代码,,数据域=TRADE；通用校验字段(存在时校验)
EQ_STEP_UP,权益,REFERENCE_CURVE,referenceCurve,字符串,价格曲线,,
EQ_STEP_UP,权益,SETTLE_DATE,settleDate,日期,结算日,,yyyyMMdd
EQ_STEP_UP,权益,START_DATE,startDate,日期,起息日,,yyyyMMdd
EQ_STEP_UP,权益,UPPER_BARRIER,upperBarrier,浮点数,上障碍价,,
EQ_STEP_UP,权益,VOLATILITY_SURFACE,volatilitySurface,字符串,波动率曲面,,引用市场数据波动率曲面key
EQ_STEP_UP,权益,VV_FLAG,vvFlag,布尔,VannaVolga开关,true/false,
EQ_WEDDING_CAKE,权益,ABS_FLAG,absFlag,布尔,,,
EQ_WEDDING_CAKE,权益,BUY_OR_SELL,buyOrSell,字符串,买卖方向,B|S,数据域=TRADE；必填(校验规则)
EQ_WEDDING_CAKE,权益,CONTRACT_SIZE,contractSize,浮点数,合约乘数,,默认1；数据域=TRADE；必填(校验规则)
EQ_WEDDING_CAKE,权益,CURRENCY_CODE,currencyCode,字符串,货币代码,,数据域=TRADE；必填(校验规则)
EQ_WEDDING_CAKE,权益,DISCOUNT_CURVE,discountCurve,字符串,折现曲线,,引用市场数据折现曲线key
EQ_WEDDING_CAKE,权益,EPS,eps,浮点数,,,
EQ_WEDDING_CAKE,权益,FIXING_ID,fixingId,字符串,定盘ID,,
EQ_WEDDING_CAKE,权益,INNER_LOWER_BARRIER,innerLowerBarrier,浮点数,内层下障碍,,数据域=TRADE；必填(校验规则)
EQ_WEDDING_CAKE,权益,INNER_RATE,innerRate,浮点数,内层收益率,,数据域=TRADE；必填(校验规则)
EQ_WEDDING_CAKE,权益,INNER_UPPER_BARRIER,innerUpperBarrier,浮点数,内层上障碍,,数据域=TRADE；必填(校验规则)
EQ_WEDDING_CAKE,权益,INSTRUMENT_ID,instrumentId,字符串,交易编号,,数据域=TRADE；通用校验字段(存在时校验)
EQ_WEDDING_CAKE,权益,MATURITY_DATE,maturityDate,日期,到期日,,yyyyMMdd；数据域=TRADE；必填(校验规则)
EQ_WEDDING_CAKE,权益,MID_RATE,midRate,浮点数,中间收益率,,数据域=TRADE；必填(校验规则)
EQ_WEDDING_CAKE,权益,NOTIONAL,notional,浮点数,名义金额,,非负有限数；数据域=TRADE；必填(校验规则)
