产品类型,输入字段,字段名称,字段类型,值域,特殊格式说明
IR_WEDDING_CAKE,INNER_LOWER_BARRIER,内层下障碍,Double,,
IR_WEDDING_CAKE,INNER_RATE,内层收益率,Double,,
IR_WEDDING_CAKE,INNER_UPPER_BARRIER,内层上障碍,Double,,
IR_WEDDING_CAKE,INSTRUMENT_ID,交易编号,String,,
IR_WEDDING_CAKE,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
IR_WEDDING_CAKE,MID_RATE,中层收益率,Double,,
IR_WEDDING_CAKE,NOTIONAL,名义金额,Double,>=0,
IR_WEDDING_CAKE,OUT_RATE,外层收益率,Double,,
IR_WEDDING_CAKE,OUTER_LOWER_BARRIER,外层下障碍,Double,,
IR_WEDDING_CAKE,OUTER_UPPER_BARRIER,外层上障碍,Double,,
IR_WEDDING_CAKE,PRICE_CURVE,价格曲线,String,,市场数据键
IR_WEDDING_CAKE,PRODUCT_CODE,产品代码,String,,
IR_WEDDING_CAKE,RATE_TYPE,利率类型口径,String,ZERO/PAR,
IR_WEDDING_CAKE,SETTLE_CURRENCY_CODE,结算币种,String,,
IR_WEDDING_CAKE,SETTLE_DATE,结算日期,LocalDate,,日期格式 yyyyMMdd
IR_WEDDING_CAKE,START_DATE,起始日期,LocalDate,,日期格式 yyyyMMdd
IR_WEDDING_CAKE,TERM_CODE,期限代码,String,1D/1W/1M/3M/6M/1Y/5Y...,
IR_WEDDING_CAKE,TERM_FREQ,期限频率,String,1D/1W/1M/3M/6M/1Y...,
IR_WEDDING_CAKE,VOLATILITY_SURFACE,波动率曲面,String,,
IR_WEDDING_CAKE,VV_FLAG,Vanna-Volga开关,Boolean,true/false,
IRSCCS,CURRENCY_CODE,产品计价币种,String,,
IRSCCS,DATA_DATE,数据日期,LocalDate,,日期格式 yyyyMMdd
IRSCCS,INSTRUMENT_ID,交易编号,String,,
IRSCCS,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
IRSCCS,NOTIONAL_EXCHANGE_TYPE,NOTIONAL_EXCHANGE_TYPE,String,,
IRSCCS,PAY_CURRENCY_CODE,支付端币种,String,,
IRSCCS,PAY_DAY_COUNT_BASIS,支付端日计数规则,String,ACT/360、ACT/365、30/360 等,
IRSCCS,PAY_DISCOUNT_CURVE,PAY_DISCOUNT_CURVE,String,,市场数据键
IRSCCS,PAY_FIXING_CALENDAR,PAY_FIXING_CALENDAR,String,,日历代码
IRSCCS,PAY_FIXING_CURVE,PAY_FIXING_CURVE,String,,市场数据键
IRSCCS,PAY_FIXING_DAYOFF,PAY_FIXING_DAYOFF,Integer,,
IRSCCS,PAY_FIXING_FREQ,PAY_FIXING_FREQ,String,,
IRSCCS,PAY_FIXING_ID,PAY_FIXING_ID,String,,
IRSCCS,PAY_FIXING_RULE,PAY_FIXING_RULE,String,,
IRSCCS,PAY_FREQ,付息频率,String,1D/1W/1M/3M/6M/1Y...,
IRSCCS,PAY_INTEREST,PAY_INTEREST,Double,,
IRSCCS,PAY_INTEREST_TYPE,支付端利率类型,String,Fixed/Floating,
IRSCCS,PAY_LAST_FIXING_RATE,PAY_LAST_FIXING_RATE,Double,,
IRSCCS,PAY_NOTIONAL,PAY_NOTIONAL,Double,,
IRSCCS,PAY_RESET_FREQ,PAY_RESET_FREQ,String,,
IRSCCS,PAY_SETTLE_CALENDAR,PAY_SETTLE_CALENDAR,String,,日历代码
IRSCCS,PAY_SETTLE_DAYOFF,PAY_SETTLE_DAYOFF,Integer,,
IRSCCS,PAY_SETTLE_RULE,PAY_SETTLE_RULE,String,,
IRSCCS,PAY_SPREAD,支付端利差,Double,,
IRSCCS,PRODUCT_CODE,产品代码,String,,
IRSCCS,REC_CURRENCY_CODE,接收端币种,String,,
IRSCCS,REC_DAY_COUNT_BASIS,接收端日计数规则,String,ACT/360、ACT/365、30/360 等,
IRSCCS,REC_DISCOUNT_CURVE,REC_DISCOUNT_CURVE,String,,市场数据键
IRSCCS,REC_FIXING_CALENDAR,REC_FIXING_CALENDAR,String,,日历代码
IRSCCS,REC_FIXING_CURVE,REC_FIXING_CURVE,String,,市场数据键
IRSCCS,REC_FIXING_DAYOFF,REC_FIXING_DAYOFF,Integer,,
IRSCCS,REC_FIXING_FREQ,REC_FIXING_FREQ,String,,
IRSCCS,REC_FIXING_ID,REC_FIXING_ID,String,,
IRSCCS,REC_FIXING_RULE,REC_FIXING_RULE,String,,
IRSCCS,REC_FREQ,REC_FREQ,String,,
IRSCCS,REC_INTEREST,REC_INTEREST,Double,,
IRSCCS,REC_INTEREST_TYPE,接收端利率类型,String,Fixed/Floating,
IRSCCS,REC_LAST_FIXING_RATE,REC_LAST_FIXING_RATE,Double,,
IRSCCS,REC_NOTIONAL,REC_NOTIONAL,Double,,
IRSCCS,REC_RESET_FREQ,REC_RESET_FREQ,String,,
IRSCCS,REC_SETTLE_CALENDAR,REC_SETTLE_CALENDAR,String,,日历代码
IRSCCS,REC_SETTLE_DAYOFF,REC_SETTLE_DAYOFF,Integer,,
IRSCCS,REC_SETTLE_RULE,REC_SETTLE_RULE,String,,
IRSCCS,REC_SPREAD,接收端利差,Double,,
IRSCCS,START_DATE,起始日期,LocalDate,,日期格式 yyyyMMdd
IRSCCS,SWAP_TYPE,SWAP_TYPE,String,,
STD_IRS,BUY_OR_SELL,买卖方向,String,B/S,
STD_IRS,CURRENCY_CODE,产品计价币种,String,,
STD_IRS,DAY_COUNT_BASIS,计息日计数规则,String,ACT/360、ACT/365、30/360 等,
STD_IRS,FIXING_CURVE,定盘曲线,String,,市场数据键
STD_IRS,INSTRUMENT_ID,交易编号,String,,
STD_IRS,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
STD_IRS,NOTIONAL,名义金额,double,>=0,
STD_IRS,PRODUCT_CODE,产品代码,String,,
STD_IRS,SETTLE_CALENDAR,结算日历,String,,日历代码
STD_IRS,TERM_CODE,期限代码,String,1D/1W/1M/3M/6M/1Y/5Y...,
STD_IRS,TRADE_PRICE,TRADE_PRICE,double,,
SWAPTION,BUY_OR_SELL,买卖方向,String,B/S,
SWAPTION,CALL_OR_PUT,看涨看跌,String,Call/Put,
SWAPTION,CURRENCY_CODE,产品计价币种,String,,
SWAPTION,DISCOUNT_CURVE,贴现曲线,String,,市场数据键
SWAPTION,FIXED_DAY_COUNT_BASIS,固定端日计数规则,String,ACT/360、ACT/365、30/360 等,
SWAPTION,FIXED_RATE,固定端利率,Double,,
SWAPTION,FIXING_CALENDAR,定盘日历,String,,日历代码
SWAPTION,FIXING_CURVE,定盘曲线,String,,市场数据键
SWAPTION,FIXING_DAYOFF,定盘节假日调整,Integer,,
SWAPTION,FIXING_FREQ,定盘频率,String,1D/1W/1M/3M/6M/1Y...,
SWAPTION,FIXING_RULE,定盘规则,String,,
SWAPTION,INSTRUMENT_ID,交易编号,String,,
SWAPTION,MATURITY_DATE,到期日期,LocalDate,,日期格式 yyyyMMdd
SWAPTION,NOTIONAL,名义金额,Double,>=0,
SWAPTION,PRODUCT_CODE,产品代码,String,,
SWAPTION,UNDERLYING_FREQ,标的付息频率,String,,
SWAPTION,UNDERLYING_MATURITY_DATE,标的到期日期,LocalDate,,日期格式 yyyyMMdd
SWAPTION,UNDERLYING_SETTLE_CALENDAR,标的结算日历,String,,日历代码
SWAPTION,UNDERLYING_SETTLE_DAYOFF,标的结算节假日调整,Integer,,
SWAPTION,UNDERLYING_SETTLE_RULE,标的结算规则,String,,
SWAPTION,UNDERLYING_START_DATE,标的起始日期,LocalDate,,日期格式 yyyyMMdd
SWAPTION,VALUATION_MODEL,估值模型,String,BACHELIER/BLACK76/BLACK/LOGNORMAL,
SWAPTION,VOLATILITY_SURFACE,波动率曲面,String,,
